"year","territory","oblast_code","title_count","copy_count","territory_ua"
2015,"Kyiv Oblast","UA32000000000030281",93,229.8,"Київська"
2015,"Kirovohrad","UA35000000000016081",174,56.8,"Кіровоградська"
2015,"Luhansk","UA44000000000018893",23,7.8,"Луганська"
2015,"Lviv","UA46000000000026241",1389,1161.3,"Львівська"
2015,"Mykolaiv","UA48000000000039575",162,42,"Миколаївська"
2015,"Odesa","UA51000000000030770",804,261.2,"Одеська"
2015,"Poltava","UA53000000000028050",261,63,"Полтавська"
2015,"Rivne","UA56000000000066151",213,104.3,"Рівненська"
2015,"Sumy","UA59000000000057109",503,458.9,"Сумська"
2015,"Ternopil","UA61000000000060328",731,1571,"Тернопільська"
2015,"Kharkiv","UA63000000000041885",4730,15290.5,"Харківська"
2015,"Kherson","UA65000000000030969",226,63.6,"Херсонська"
2015,"Khmelnytskyi","UA68000000000099709",449,293,"Хмельницька"
2015,"Cherkasy","UA71000000000010357",340,147.9,"Черкаська"
2015,"Chernivtsi","UA73000000000044923",367,162.9,"Чернівецька"
2015,"Chernihiv","UA74000000000025378",271,241.4,"Чернігівська"
2016,"Ivano-Frankivsk","UA26000000000069363",221,96.7,"Івано-Франківська"
2016,"Crimea","UA01000000000013043",0,0,"Автономна Республіка Крим"
2016,"Volyn","UA07000000000024379",239,129.6,"Волинська"
2016,"Vinnytsia","UA05000000000010236",448,187.7,"Вінницька"
2016,"Dnipro","UA12000000000090473",654,211,"Дніпропетровська"
2016,"Donetsk","UA14000000000091971",316,480.8,"Донецька"
2016,"Zhytomyr","UA18000000000041385",110,88.5,"Житомирська"
2016,"Zakarpattia","UA21000000000011690",230,86.2,"Закарпатська"
2016,"Zaporizhzhia","UA23000000000064947",333,108.9,"Запорізька"
2016,"Kyiv City","UA80000000000093317",7082,19317,"Київ"
2016,"Kyiv Oblast","UA32000000000030281",110,83.6,"Київська"
2016,"Kirovohrad","UA35000000000016081",147,57.7,"Кіровоградська"
2016,"Luhansk","UA44000000000018893",54,20.1,"Луганська"
2016,"Lviv","UA46000000000026241",1509,1493.3,"Львівська"
2016,"Mykolaiv","UA48000000000039575",134,34.6,"Миколаївська"
2016,"Odesa","UA51000000000030770",771,224.2,"Одеська"
2016,"Poltava","UA53000000000028050",281,75,"Полтавська"
2016,"Rivne","UA56000000000066151",262,81.9,"Рівненська"
2016,"Sumy","UA59000000000057109",494,457,"Сумська"
2016,"Ternopil","UA61000000000060328",844,1979.1,"Тернопільська"
2016,"Kharkiv","UA63000000000041885",5262,22420.4,"Харківська"
2016,"Kherson","UA65000000000030969",245,56.8,"Херсонська"
2016,"Khmelnytskyi","UA68000000000099709",443,480.4,"Хмельницька"
2016,"Cherkasy","UA71000000000010357",419,170.7,"Черкаська"
2016,"Chernivtsi","UA73000000000044923",384,279.9,"Чернівецька"
2016,"Chernihiv","UA74000000000025378",338,357,"Чернігівська"
2017,"Ivano-Frankivsk","UA26000000000069363",259,170.5,"Івано-Франківська"
2017,"Crimea","UA01000000000013043",0,0,"Автономна Республіка Крим"
2017,"Volyn","UA07000000000024379",207,376.1,"Волинська"
2017,"Vinnytsia","UA05000000000010236",644,182.9,"Вінницька"
2017,"Dnipro","UA12000000000090473",686,234,"Дніпропетровська"
2017,"Donetsk","UA14000000000091971",169,270.6,"Донецька"
2017,"Zhytomyr","UA18000000000041385",192,68.5,"Житомирська"
2017,"Zakarpattia","UA21000000000011690",241,73.6,"Закарпатська"
2017,"Zaporizhzhia","UA23000000000064947",443,127.4,"Запорізька"
2017,"Kyiv City","UA80000000000093317",7551,18844.1,"Київ"
2017,"Kyiv Oblast","UA32000000000030281",165,146.9,"Київська"
2017,"Kirovohrad","UA35000000000016081",128,46,"Кіровоградська"
2017,"Luhansk","UA44000000000018893",46,12.4,"Луганська"
2017,"Lviv","UA46000000000026241",1580,1960,"Львівська"
2017,"Mykolaiv","UA48000000000039575",218,54.4,"Миколаївська"
2017,"Odesa","UA51000000000030770",723,198.4,"Одеська"
2017,"Poltava","UA53000000000028050",382,97.8,"Полтавська"
2017,"Rivne","UA56000000000066151",254,134,"Рівненська"
