"year","category_type","category_value","measure","value"
2006,"theme","Художня література. Фольклор","title_count",0
2006,"total","all_books","copy_count",54209.6
2006,"total","all_books","title_count",15867
2007,"language","Іврит","copy_count",0
2007,"language","Іврит","title_count",0
2007,"language","Іспанська","copy_count",0
2007,"language","Іспанська","title_count",0
2007,"language","Італійська","copy_count",0
2007,"language","Італійська","title_count",0
2007,"language","Азербайджанська","copy_count",0
2007,"language","Азербайджанська","title_count",0
2007,"language","Англійська","copy_count",0
2007,"language","Англійська","title_count",0
2007,"language","Арабська","copy_count",0
2007,"language","Арабська","title_count",0
2007,"language","Болгарська","copy_count",0
2007,"language","Болгарська","title_count",0
2007,"language","Білоруська","copy_count",0
2007,"language","Білоруська","title_count",0
2007,"language","Вʼєтнамська","copy_count",0
2007,"language","Вʼєтнамська","title_count",0
2007,"language","Гагаузька","copy_count",0
2007,"language","Гагаузька","title_count",0
2007,"language","Грецька","copy_count",0
2007,"language","Грецька","title_count",0
2007,"language","Давньогрецька","copy_count",0
2007,"language","Давньогрецька","title_count",0
2007,"language","Естонська","copy_count",0
2007,"language","Естонська","title_count",0
2007,"language","Китайська","copy_count",0
2007,"language","Китайська","title_count",0
2007,"language","Кримськотатарська","copy_count",0
2007,"language","Кримськотатарська","title_count",0
2007,"language","Кількома мовами народів світу","copy_count",0
2007,"language","Кількома мовами народів світу","title_count",0
2007,"language","Латинська","copy_count",0
2007,"language","Латинська","title_count",0
2007,"language","Литовська","copy_count",0
2007,"language","Литовська","title_count",0
2007,"language","Молдавська","copy_count",0
2007,"language","Молдавська","title_count",0
2007,"language","Новогрецька","copy_count",0
2007,"language","Новогрецька","title_count",0
2007,"language","Німецька","copy_count",0
2007,"language","Німецька","title_count",0
2007,"language","Польська","copy_count",0
2007,"language","Польська","title_count",0
2007,"language","Португальська","copy_count",0
2007,"language","Португальська","title_count",0
2007,"language","Ромська","copy_count",0
2007,"language","Ромська","title_count",0
2007,"language","Російська","copy_count",24463.8
2007,"language","Російська","title_count",4639
2007,"language","Румунська","copy_count",0
2007,"language","Румунська","title_count",0
2007,"language","Русинська","copy_count",0
2007,"language","Русинська","title_count",0
2007,"language","Сербська","copy_count",0
2007,"language","Сербська","title_count",0
2007,"language","Словацька","copy_count",0
2007,"language","Словацька","title_count",0
2007,"language","Старослов'янська (церковнослов'янська)","copy_count",0
2007,"language","Старослов'янська (церковнослов'янська)","title_count",0
2007,"language","Турецька","copy_count",0
2007,"language","Турецька","title_count",0
2007,"language","Угорська","copy_count",0
2007,"language","Угорська","title_count",0
2007,"language","Узбецька","copy_count",0
2007,"language","Узбецька","title_count",0
2007,"language","Українська","copy_count",28787.1
2007,"language","Українська","title_count",11825
2007,"language","Французька","copy_count",0
2007,"language","Французька","title_count",0
2007,"language","Чеська","copy_count",0
2007,"language","Чеська","title_count",0
2007,"language","Японська","copy_count",0
2007,"language","Японська","title_count",0
2007,"purpose","Інформаційні видання","copy_count",57.3
2007,"purpose","Інформаційні видання","title_count",17
2007,"purpose","Бібліографічні видання","copy_count",39.8
2007,"purpose","Бібліографічні видання","title_count",146
2007,"purpose","Видання для дітей та юнацтва","copy_count",5478.6
2007,"purpose","Видання для дітей та юнацтва","title_count",1261
2007,"purpose","Видання для організації дозвілля","copy_count",3453.4
2007,"purpose","Видання для організації дозвілля","title_count",299
2007,"purpose","Громадсько-політичні видання","copy_count",3009.8
2007,"purpose","Громадсько-політичні видання","title_count",94
2007,"purpose","Довідкові видання","copy_count",2899.4
2007,"purpose","Довідкові видання","title_count",828
2007,"purpose","Література релігійного змісту","copy_count",5132.4
